Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-02-25 00:00:00-05:00,578.75,581.0,564.5,572.75,30844,0.0,0.0
2025-02-26 00:00:00-05:00,574.25,577.25,563.75,566.0,23733,0.0,0.0
2025-02-27 00:00:00-05:00,566.0,566.5,544.0,546.75,9609,0.0,0.0
2025-02-28 00:00:00-05:00,547.25,554.5,537.0,537.0,551,0.0,0.0
2025-03-03 00:00:00-05:00,545.5,545.75,532.0,532.0,77,0.0,0.0
2025-03-04 00:00:00-05:00,516.0,518.75,515.5,518.5,30,0.0,0.0
2025-03-05 00:00:00-05:00,534.5,534.5,530.0,530.75,2,0.0,0.0
2025-03-06 00:00:00-05:00,537.0,537.0,537.0,537.0,8,0.0,0.0
2025-03-07 00:00:00-05:00,533.75,533.75,533.75,533.75,13,0.0,0.0
2025-03-10 00:00:00-04:00,548.25,548.25,545.0,545.25,12,0.0,0.0
2025-03-11 00:00:00-04:00,543.75,544.0,541.0,541.0,16,0.0,0.0
2025-03-12 00:00:00-04:00,534.0,538.75,534.0,538.75,3,0.0,0.0
2025-03-13 00:00:00-04:00,549.0,551.25,547.25,547.25,15,0.0,0.0
2025-03-14 00:00:00-04:00,545.75,545.75,545.75,545.75,60916,0.0,0.0
2025-03-17 00:00:00-04:00,559.0,575.25,559.0,568.5,78721,0.0,0.0
2025-03-18 00:00:00-04:00,568.75,574.75,563.5,565.0,64451,0.0,0.0
2025-03-19 00:00:00-04:00,564.25,568.5,558.0,563.5,62175,0.0,0.0
2025-03-20 00:00:00-04:00,565.25,568.0,552.25,557.25,62329,0.0,0.0
2025-03-21 00:00:00-04:00,557.75,563.0,553.25,558.25,47008,0.0,0.0
2025-03-24 00:00:00-04:00,561.25,563.0,545.25,548.25,53647,0.0,0.0
2025-03-25 00:00:00-04:00,548.0,549.5,541.0,543.25,57054,0.0,0.0
2025-03-26 00:00:00-04:00,544.0,545.75,535.0,535.25,57623,0.0,0.0
2025-03-27 00:00:00-04:00,536.25,537.25,526.5,532.0,73561,0.0,0.0
2025-03-28 00:00:00-04:00,531.75,533.0,517.5,528.25,81818,0.0,0.0
2025-03-31 00:00:00-04:00,529.5,539.25,523.5,537.0,83018,0.0,0.0
2025-04-01 00:00:00-04:00,539.0,544.0,533.25,540.5,62409,0.0,0.0
2025-04-02 00:00:00-04:00,541.75,543.0,532.5,539.25,58991,0.0,0.0
2025-04-03 00:00:00-04:00,526.75,542.0,525.25,536.0,80918,0.0,0.0
2025-04-04 00:00:00-04:00,536.75,539.5,520.5,529.0,82626,0.0,0.0
2025-04-07 00:00:00-04:00,530.75,546.5,525.75,536.5,96849,0.0,0.0
2025-04-08 00:00:00-04:00,537.5,545.75,533.75,540.0,92716,0.0,0.0
2025-04-09 00:00:00-04:00,539.75,546.0,536.5,542.25,85229,0.0,0.0
2025-04-10 00:00:00-04:00,543.75,547.5,534.5,538.0,112107,0.0,0.0
2025-04-11 00:00:00-04:00,537.5,556.75,536.5,555.75,123039,0.0,0.0
2025-04-14 00:00:00-04:00,553.0,555.25,542.75,547.5,78608,0.0,0.0
2025-04-15 00:00:00-04:00,547.5,551.0,540.25,542.0,65960,0.0,0.0
2025-04-16 00:00:00-04:00,542.75,550.5,537.0,547.75,59640,0.0,0.0
2025-04-17 00:00:00-04:00,548.25,555.75,548.0,548.75,40697,0.0,0.0
2025-04-21 00:00:00-04:00,549.25,552.75,537.25,538.5,24733,0.0,0.0
2025-04-22 00:00:00-04:00,540.0,540.75,531.5,535.5,31592,0.0,0.0
2025-04-23 00:00:00-04:00,535.75,537.5,527.75,528.25,29029,0.0,0.0
2025-04-24 00:00:00-04:00,528.75,530.5,524.25,529.25,25897,0.0,0.0
2025-04-25 00:00:00-04:00,529.5,534.75,527.5,530.0,30800,0.0,0.0
2025-04-28 00:00:00-04:00,529.0,529.0,511.5,515.5,32411,0.0,0.0
2025-04-29 00:00:00-04:00,518.0,521.0,505.0,505.75,20109,0.0,0.0
2025-04-30 00:00:00-04:00,507.25,520.0,505.0,513.0,1204,0.0,0.0
2025-05-01 00:00:00-04:00,530.75,533.5,530.5,533.25,1042,0.0,0.0
